Family,Genus,Species,verbatimSpecies,WS_L_Fem,WS_U_Fem,WS_L_Mal,WS_U_Mal,WS_L,WS_U,FW_L_Fem,FW_U_Fem,FW_L_Mal,FW_U_Mal,FW_L,FW_U,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,FlightDuration,DiapauseStage,Voltinism,OvipositionStyle,CanopyAffinity,EdgeAffinity,MoistureAffinity,DisturbanceAffinity,NumberOfHostplantFamilies,SoleHostplantFamily,PrimaryHostplantFamily,SecondaryHostplantFamily,EqualHostplantFamily,NumberOfHostplantAccounts,DateCreated
Lycaenidae,Aloeides,Aloeides carolynnae,Aloeides carolynnae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,1,1,7,NA,NA,NA,Open canopy,No evidence for edge associations,Xeric-associated (strong),NA,1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides clarki,Aloeides clarki,NA,2.7,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,1,7,NA,NA,S,Open canopy,NA,NA,NA,1,Fabaceae,,,,2,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides conradsi,Aloeides conradsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,2,NA,NA,NA,Canopy generalist,Edge-avoidant (strong),Moisture association varies,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides damarensis,Aloeides damarensis,NA,3.533333333,NA,3.033333333,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,NA,S,Mixed canopy (open affinity),Edge-avoidant (strong),Moisture association varies,NA,3,,Fabaceae,,,4,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides dentatis,Aloeides dentatis,NA,2.7,2.4,2.5,2.2,2.8,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,1,0,1,1,1,1,8,NA,NA,NA,Open canopy,No evidence for edge associations,Mesic-associated (strong),NA,2,,Malvaceae,Fabaceae,,2,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides depicta,Aloeides depicta,NA,3.3,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,1,1,1,11,PL,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Fabaceae,,,,2,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides dicksoni,Aloeides dicksoni,NA,3,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides dryas,Aloeides dryas,NA,3.2,2.9,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,0,1,1,1,1,10,NA,NA,NA,Mixed canopy (open affinity),Edge-associated (strong),Mesic-associated (strong),NA,1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides egerides,Aloeides egerides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,1,1,1,7,NA,NA,NA,Open canopy,NA,Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides gowani,Aloeides gowani,NA,2.9,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,L,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Fabaceae,,,,2,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides griseus,Aloeides griseus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides henningi,Aloeides henningi,NA,2.5,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,6,NA,U,NA,NA,NA,NA,NA,2,,Fabaceae,Malvaceae,,2,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides juana,Aloeides juana,NA,3.3,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,1,1,1,5,NA,NA,NA,Open canopy,Edge-avoidant (strong),Both,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides kaplani,Aloeides kaplani,NA,3.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,0,0,3,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides lutescens,Aloeides lutescens,NA,3.1,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,0,1,1,1,1,9,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (weak),NA,1,Fabaceae,,,,2,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides macmasteri,Aloeides macmasteri,NA,3.3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,8,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (weak),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides maluti,Aloeides maluti,NA,2.5,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides margaretae,Aloeides margaretae,NA,3.1,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,1,10,NA,NA,NA,Open canopy,NA,NA,NA,1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides mbuluensis,Aloeides mbuluensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,3,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides merces,Aloeides merces,NA,2.8,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,2,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides molomo,Aloeides molomo,NA,2.8,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,1,1,1,1,1,8,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),NA,2,,Thymelaeaceae,Malvaceae,,3,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides monticola,Aloeides monticola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,2,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides mullini,Aloeides mullini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,2,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides namibiensis,Aloeides namibiensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides nollothi,Aloeides nollothi,NA,2.2,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,4,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),Disturbance-avoidant (strong),2,,Zygophyllaceae,Malvaceae,Yes,1,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides nubilus,Aloeides nubilus,NA,2.5,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,Open canopy,NA,NA,NA,1,Lamiaceae,,,,1,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides oreas,Aloeides oreas,NA,2.5,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,1,1,6,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides pallida,Aloeides pallida,3.9,4.033333333,3.5,3.525,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,1,1,5,NA,NA,NA,Open canopy,Edge association varies,Xeric-associated (strong),NA,1,Fabaceae,,,,3,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides penningtoni,Aloeides penningtoni,NA,3,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,1,1,1,1,1,7,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides pierus,Aloeides pierus,NA,3.05,2.7,2.825,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,8,I,B,NA,Canopy generalist,Edge-avoidant (weak),Xeric-associated (weak),Disturbance-avoidant (weak),1,Fabaceae,,,,3,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides plowesi,Aloeides plowesi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,1,1,1,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides pringlei,Aloeides pringlei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,2,NA,NA,NA,Open canopy,NA,Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides quickelbergei,Aloeides quickelbergei,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,3,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides rileyi,Aloeides rileyi,NA,2.9,2.6,2.8,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,2,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides rossouwi,Aloeides rossouwi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,1,1,1,5,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides simplex,Aloeides simplex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,1,1,7,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),Disturbance-avoidant (strong),1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides stevensoni,Aloeides stevensoni,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,1,1,3,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides susanae,Aloeides susanae,NA,2.4,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,1,1,4,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides swanepoeli,Aloeides swanepoeli,2.9,3,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,5,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides taikosama,Aloeides taikosama,NA,2.9,NA,2.5,2.2,3.05,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,1,10,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides tearei,Aloeides tearei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,1,1,1,0,0,5,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides thyra,Aloeides thyra,NA,2.925,NA,2.6,2.2,2.8,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,1,1,1,1,1,1,11,NA,B,S,Canopy generalist,Seen near and away from edges,Xeric-associated (weak),Seen near and away from disturbed habitat,1,Fabaceae,,,,5,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides titei,Aloeides titei,NA,3,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,1,1,4,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides trimeni,Aloeides trimeni,2.9,3.1,2.7,2.8,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,1,1,1,8,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),Disturbance-associated (strong),2,,Fabaceae,Malvaceae,,3,3/9/2022 15:23
Lycaenidae,Aloeides,Aloeides vansoni,Aloeides vansoni,NA,3.2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,1,1,1,5,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Amblopala,Amblopala avidiena,Amblopala avidiena,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,0,0,0,0,0,0,5,NA,U,S,NA,NA,NA,NA,1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Amblypodia,Amblypodia anita,Amblypodia anita,NA,NA,NA,NA,3.65,4.25,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,1,0,0,0,4,NA,NA,S,Closed canopy,NA,Both,NA,5,,,,,3,3/9/2022 15:23
Lycaenidae,Amblypodia,Amblypodia annetta,Amblypodia annetta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,Canopy generalist,NA,Mesic-associated (strong),Disturbance-associated (strong),1,Celastraceae,,,,3,3/9/2022 15:23
Lycaenidae,Amblypodia,Amblypodia narada,Amblypodia narada,NA,NA,NA,NA,3.9,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,Myrtaceae,Olacaceae,Yes,2,3/9/2022 15:23
Lycaenidae,Ancema,Ancema blanka,Ancema blanka,NA,NA,NA,NA,2.8,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Ancema,Ancema ctesia,Ancema ctesia,NA,NA,NA,NA,3,3.7,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1,1,0,0,6,NA,NA,S,NA,NA,NA,NA,1,Santalaceae,,,,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene afra,Anthene afra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0,1,0,0,0,0,1,1,0,1,1,0,5,NA,NA,NA,Closed canopy,Edge-associated (strong),No evidence for moisture association,Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene agumatsa,Anthene agumatsa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,0,1,0,1,0,6,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene akoae,Anthene akoae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,1,0,1,1,0,0,5,NA,NA,NA,Closed canopy,No evidence for edge associations,No evidence for moisture association,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene alberta,Anthene alberta,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,1,0,1,4,NA,NA,NA,Closed canopy,Edge-associated (strong),Mesic-associated (strong),Disturbance-avoidant (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene amarah,Anthene amarah,1.8,2.466666667,1.8,2.333333333,2.1,2.5,NA,NA,NA,NA,NA,1.2,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,M,S,Mixed canopy (open affinity),Edge-avoidant (weak),Xeric-associated (strong),Disturbance-associated (strong),2,,Fabaceae,Rutaceae,,8,3/9/2022 15:23
Lycaenidae,Anthene,Anthene arnoldi,Anthene arnoldi,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,1,1,1,1,7,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene bamptoni,Anthene bamptoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed canopy,NA,NA,NA,1,Iteaceae,,,,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene benadirensis,Anthene benadirensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene butleri,Anthene butleri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene chojnackii,Anthene chojnackii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene confusa,Anthene confusa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Fabaceae,,,,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene congdoni,Anthene congdoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene contrastata,Anthene contrastata,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,1,0,0,0,3,NA,NA,NA,Mixed canopy (closed affinity),NA,Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene cottrelli,Anthene cottrelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,Mixed canopy (open affinity),NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene crawshayi,Anthene crawshayi,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,1.2,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,NA,S,Canopy generalist,Edge-avoidant (strong),Moisture association varies,NA,1,Fabaceae,,,,3,3/9/2022 15:23
Lycaenidae,Anthene,Anthene definita,Anthene definita,NA,2.65,NA,2.51,2.05,2.9,NA,NA,NA,NA,NA,1.4,1,1,1,1,1,1,1,1,1,1,1,1,12,P,NA,S,Canopy generalist,Seen near and away from edges,Mesic-associated (weak),Disturbance-associated (weak),12,,Fabaceae,,,8,3/9/2022 15:23
Lycaenidae,Anthene,Anthene dulcis,Anthene dulcis,NA,2.3,NA,2.2,1.9,2.4,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,1,1,5,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),NA,1,Fabaceae,,,,2,3/9/2022 15:23
Lycaenidae,Anthene,Anthene eliasi,Anthene eliasi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,1,3,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene emolus,Anthene emolus,NA,NA,NA,NA,2.3,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,Mixed canopy (open affinity),Edge-associated (strong),NA,NA,10,,,,,4,3/9/2022 15:23
Lycaenidae,Anthene,Anthene gardineri,Anthene gardineri,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,1,0,1,3,NA,NA,NA,Mixed canopy (open affinity),NA,Mesic-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene hobleyi,Anthene hobleyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,0,1,1,1,1,1,11,NA,NA,NA,Closed canopy,Edge-associated (strong),Mesic-associated (strong),Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene hodsoni,Anthene hodsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,1,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene indefinita,Anthene indefinita,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,3,NA,NA,NA,Canopy generalist,Edge association varies,Moisture association varies,Disturbance-associated (strong),2,,Euphorbiaceae,Rubiaceae,Yes,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene irumu,Anthene irumu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0,0,0,0,0,0,1,0,1,1,0,0,3,NA,NA,NA,Canopy generalist,Seen near and away from edges,Xeric-associated (strong),NA,1,Loranthaceae,,,,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene ituria,Anthene ituria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,1,1,0,0,4,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene jeanneli,Anthene jeanneli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene kenyensis,Anthene kenyensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,0,0,0,0,0,3,NA,NA,NA,NA,NA,Mesic-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene kikuyu,Anthene kikuyu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,0,0,0,1,0,0,0,1,0,0,0,3,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),Disturbance-associated (strong),1,Fabaceae,,,,2,3/9/2022 15:23
Lycaenidae,Anthene,Anthene larydas,Anthene larydas,NA,2.7,NA,2.7,2.6,2.85,NA,NA,NA,NA,NA,1.3,1,1,1,1,1,1,1,1,1,1,1,1,12,P,NA,S,Canopy generalist,Edge-associated (weak),Xeric-associated (weak),NA,2,,Fabaceae,Hypericaceae,,5,3/9/2022 15:23
Lycaenidae,Anthene,Anthene lasti,Anthene lasti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,NA,NA,Canopy generalist,No evidence for edge associations,Mesic-associated (strong),Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene lemnos,Anthene lemnos,NA,3,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,NA,S,Canopy generalist,Edge-associated (strong),No evidence for moisture association,NA,1,Euphorbiaceae,,,,2,3/9/2022 15:23
Lycaenidae,Anthene,Anthene leonina,Anthene leonina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,Mixed canopy (closed affinity),NA,Mesic-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Lycaenidae,Anthene,Anthene levis,Anthene levis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,Closed canopy (+edge),Edge-associated (strong),NA,NA,1,Loranthaceae,,,,1,3/9/2022 15:23
Lycaenidae,Anthene,Anthene licates,Anthene licates,NA,NA,NA,NA,2.2,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
